"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 28 15:27:55 GMT 2024","Mon Oct 28 15:28:03 GMT 2024","7944","independent (desktop)","1-wallet-connect/walletConnect.spec.ts","","","","1A. Should connect wallet and choose stake-key to use",""
"failed","Mon Oct 28 15:28:12 GMT 2024","Mon Oct 28 15:28:18 GMT 2024","5776","independent (desktop)","2-delegation/delegation.spec.ts","","","","2K_3. Should sort DReps randomly",""
"passed","Mon Oct 28 15:32:01 GMT 2024","Mon Oct 28 15:32:07 GMT 2024","6043","loggedin (desktop)","4-proposal-visibility/proposalVisibility.loggedin.spec.ts","","","","4B_1. Should restrict voting for users who are not registered as DReps (with wallet connected)",""
"broken","Mon Oct 28 15:41:20 GMT 2024","Mon Oct 28 15:49:51 GMT 2024","510316","dRep","5-proposal-functionality/proposalFunctionality.dRep.spec.ts","Perform voting","","","5I. Should view the vote details,when viewing governance action already voted by the DRep",""
"passed","Mon Oct 28 15:41:05 GMT 2024","Mon Oct 28 15:41:18 GMT 2024","13689","dRep","5-proposal-functionality/proposalFunctionality.dRep.spec.ts","Bad Proposals","","","5G. Should show warning in bad governance action proposal to the users to visit the site at their own risk, when external url is opened",""
"passed","Mon Oct 28 15:32:55 GMT 2024","Mon Oct 28 15:34:24 GMT 2024","89531","loggedin (desktop)","7-proposal-submission/proposalSubmission.loggedin.spec.ts","Proposal created logged state > Accept valid data","","","7E_1. Should accept valid data in info proposal form",""
"passed","Mon Oct 28 15:28:45 GMT 2024","Mon Oct 28 15:28:51 GMT 2024","5101","independent (desktop)","6-miscellaneous/miscellaneous.spec.ts","","","","6T. Should display proper network name",""
"passed","Mon Oct 28 15:30:07 GMT 2024","Mon Oct 28 15:30:12 GMT 2024","4647","mobile","6-miscellaneous/miscellaneous.spec.ts","","","","6T. Should display proper network name",""
"passed","Mon Oct 28 15:29:25 GMT 2024","Mon Oct 28 15:29:37 GMT 2024","11136","mobile","2-delegation/delegation.spec.ts","","","","2K_2. Should sort DReps",""
"failed","Mon Oct 28 15:31:48 GMT 2024","Mon Oct 28 15:31:57 GMT 2024","9172","loggedin (desktop)","3-drep-registration/dRepRegistration.loggedin.spec.ts","Validation of dRep Registration Form","","","3L_1. Should accept valid metadata anchor on create dRep",""
